z ,,,,,,,,,,,,,,,,,,,,,,,,,
Ano,Mês,Dia,Alerta,Local-Origem,Local-Destino,Cias-Aéreas,Clube-Milhas,Milheiro,Milhas-Ida,Mês-Ida,Ano-Ida,Milhas-Volta,Mês-Volta,Ano-Volta,Valor-Real,Região-Origem,UF-Origem,País-Destino,Região-Destino,UF-Destino,Ida-Real,Volta-Real,Total-Real,Economia %,Total-Milhas
2024,11,1,Ouro,Rio de Janeiro,Nova York,Latam,Latam,R$ 0.024,"42,130",01,2025,"52,162",02,2025,"R$ 5,354.00",Sudeste,RJ,EUA,Exterior,Nova York,"R$ 1,011.12","R$ 1,251.89","R$ 2,263.01",57.73%,"94,292"
2024,11,1,Ouro,Rio de Janeiro,Jericoacoara,Gol,Smiles,R$ 0.016,"26,600",03,2025,"26,600",03,2025,"R$ 1,694.00",Sudeste,RJ,Brasil,Nordeste,SE,R$ 425.60,R$ 425.60,R$ 851.20,49.75%,"53,200"
2024,11,1,Ouro,Vitória,Porto Seguro,Gol,Smiles,R$ 0.016,"21,200",02-03-04-05,2025,"21,600",02-03-04-05,2025,"R$ 1,369.00",Sudeste,ES,Brasil,Nordeste,BA,R$ 339.20,R$ 345.60,R$ 684.80,49.98%,"42,800"
2024,11,1,Prata,Belo Horizonte,Milão,Latam,Latam,R$ 0.024,"66,205",02,2025,"66,205",02-03,2025,"R$ 6,075.00",Sudeste,MG,Itália,Exterior,Norte,"R$ 1,588.92","R$ 1,588.92","R$ 3,177.84",47.69%,"132,410"
2024,11,1,Ouro,São Paulo,Navegantes,Gol,Smiles,R$ 0.016,"8,900",01-02,2025,"8,900",01-02,2025,R$ 789.00,Sudeste,SP,Brasil,Sul,SC,R$ 142.40,R$ 142.40,R$ 284.80,63.90%,"17,800"
2024,11,1,Ouro,Belo Horizonte,Salvador,Gol,Smiles,R$ 0.016,"15,500",04,2025,"15,500",04,2025,"R$ 1,328.00",Sudeste,MG,Brasil,Nordeste,BA,R$ 248.00,R$ 248.00,R$ 496.00,62.65%,"31,000"
2024,11,1,Ouro,Belo Horizonte,Londrina,Latam,Latam,R$ 0.024,"9,278",11-12,2024,"9,278",11-12,2024,"R$ 1,082.00",Sudeste,MG,Brasil,Sul,PR,R$ 222.67,R$ 222.67,R$ 445.34,58.84%,"18,556"
2024,11,1,Prata,São Paulo,Joinville,VoePass,Latam,R$ 0.024,"6,830",01,2025,"5,692",01,2025,R$ 508.00,Sudeste,SP,Brasil,Sul,SC,R$ 163.92,R$ 136.61,R$ 300.53,40.84%,"12,522"
2024,11,1,Ouro,Vitória,São Paulo,Latam,Latam,R$ 0.024,"4,898",01-02,2025,"4,898",02,2025,R$ 826.00,Sudeste,ES,Brasil,Sudeste,SP,R$ 117.55,R$ 117.55,R$ 235.10,71.54%,"9,796"
2024,11,2,Ouro,Manaus,Curaçao,Avianca,Smiles,R$ 0.016,"32,300",04,2025,"32,300",04-05,2025,"R$ 4,091.00",Norte,AM,Caribe Holandês,Exterior,Caribe,R$ 516.80,R$ 516.80,"R$ 1,033.60",74.73%,"64,600"
2024,11,2,Ouro,Belém,Madri,Latam,Latam,R$ 0.024,"64,600",03,2025,"64,399",03,2025,"R$ 6,444.00",Norte,PA,Espanha,Exterior,Capital,"R$ 1,550.40","R$ 1,545.58","R$ 3,095.98",51.96%,"128,999"
2024,11,2,Prata,Belém,Lisboa,Latam,Latam,R$ 0.024,"65,402",11,2024,"65,202",11-12,2024,"R$ 5,659.00",Norte,PA,Portugual,Exterior,Capital,"R$ 1,569.65","R$ 1,564.85","R$ 3,134.50",44.61%,"130,604"
2024,11,2,Prata,Belém,Lisboa,Latam,Latam,R$ 0.024,"65,402",11,2024,"65,202",02-03-04,2025,"R$ 5,659.00",Norte,PA,Portugual,Exterior,Capital,"R$ 1,569.65","R$ 1,564.85","R$ 3,134.50",44.61%,"130,604"
2024,11,2,Prata,Belém,Lisboa,Latam,Latam,R$ 0.024,"65,402",02-03,2025,"65,202",02-03-04,2025,"R$ 5,659.00",Norte,PA,Portugual,Exterior,Capital,"R$ 1,569.65","R$ 1,564.85","R$ 3,134.50",44.61%,"130,604"
2024,11,2,Ouro,Manaus,Mendoza,Latam,Latam,R$ 0.024,"24,877",02-04-05,2025,"24,877",02-04-05,2025,"R$ 3,418.00",Norte,AM,Argentina,Exterior,Cuyo,R$ 597.05,R$ 597.05,"R$ 1,194.10",65.06%,"49,754"
2024,11,2,Prata,Palmas,Roma,Latam,Latam,R$ 0.024,"88,273",01-02-03,2025,"72,023",02-03,2025,"R$ 5,756.00",Norte,TO,Itália,Exterior,Capital,"R$ 2,118.55","R$ 1,728.55","R$ 3,847.10",33.16%,"160,296"
2024,11,2,Ouro,Belém,Porto Seguro,Latam,Latam,R$ 0.024,"17,111",01-02,2025,"17,111",01-02,2025,"R$ 2,450.00",Norte,PA,Brasil,Nordeste,BA,R$ 410.66,R$ 410.66,R$ 821.33,66.48%,"34,222"
2024,11,2,Ouro,Palmas,Salvador,Latam,Latam,R$ 0.024,"11,275",01-02,2025,"11,275",02,2025,"R$ 2,204.00",Norte,TO,Brasil,Nordeste,BA,R$ 270.60,R$ 270.60,R$ 541.20,75.44%,"22,550"
2024,11,2,Ouro,Palmas,Rio de Janeiro,Latam,Latam,R$ 0.024,"6,648",03,2025,"6,648",03,2025,"R$ 1,449.00",Norte,TO,Brasil,Sudeste,RJ,R$ 159.55,R$ 159.55,R$ 319.10,77.98%,"13,296"
2024,11,2,Ouro,Manaus,Ribeirão Preto,Latam,Latam,R$ 0.024,"9,398",12,2024,"9,398",12,2024,"R$ 1,227.00",Norte,AM,Brasil,Sudeste,SP,R$ 225.55,R$ 225.55,R$ 451.10,63.24%,"18,796"
2024,11,2,Ouro,Manaus,Ribeirão Preto,Latam,Latam,R$ 0.024,"9,398",12,2024,"9,398",02-04-05-06,2025,"R$ 1,227.00",Norte,AM,Brasil,Sudeste,SP,R$ 225.55,R$ 225.55,R$ 451.10,63.24%,"18,796"
2024,11,2,Ouro,Manaus,Ribeirão Preto,Latam,Latam,R$ 0.024,"9,398",04-05-06,2025,"9,398",02-04-05-06,2025,"R$ 1,227.00",Norte,AM,Brasil,Sudeste,SP,R$ 225.55,R$ 225.55,R$ 451.10,63.24%,"18,796"
2024,11,2,Ouro,Palmas,Navegantes,Latam,Latam,R$ 0.024,"10,848",03,2025,"16,444",03,2025,"R$ 1,414.00",Norte,TO,Brasil,Sul,SC,R$ 260.35,R$ 394.66,R$ 655.01,53.68%,"27,292"
2024,11,2,Prata,João Pessoa,Buenos Aires,Latam,Latam,R$ 0.024,"30,655",11,2024,"30,655",11,2024,"R$ 2,814.00",Nordeste,PB,Argentina,Exterior,Capital,R$ 735.72,R$ 735.72,"R$ 1,471.44",47.71%,"61,310"
2024,11,2,Bronze,São Luís,Miami,Latam,Latam,R$ 0.024,"42,130",12,2024,"55,372",12,2024,"R$ 3,283.00",Nordeste,MA,EUA,Exterior,Flórida,"R$ 1,011.12","R$ 1,328.93","R$ 2,340.05",28.72%,"97,502"
2024,11,2,Ouro,Salvador,Paris,Gol,Smiles,R$ 0.016,"100,100",11,2024,"100,300",11,2024,"R$ 6,444.00",Nordeste,BA,França,Exterior,Capital,"R$ 1,601.60","R$ 1,604.80","R$ 3,206.40",50.24%,"200,400"
2024,11,2,Ouro,Salvador,Santiago,Latam,Latam,R$ 0.024,"16,973",03-05-06,2025,"16,973",03-06,2025,"R$ 1,704.00",Nordeste,BA,Chile,Exterior,Capital,R$ 407.35,R$ 407.35,R$ 814.70,52.19%,"33,946"
2024,11,2,Prata,Aracaju,Roma,Latam,Latam,R$ 0.024,"81,251",01-02-03,2025,"72,023",02-03,2025,"R$ 5,912.00",Nordeste,SE,Itália,Exterior,Capital,"R$ 1,950.02","R$ 1,728.55","R$ 3,678.58",37.78%,"153,274"
2024,11,2,Ouro,Fortaleza,Salvador,Latam,Latam,R$ 0.024,"12,367",01-02,2025,"12,064",01-02,2025,"R$ 1,990.00",Nordeste,CE,Brasil,Nordeste,BA,R$ 296.81,R$ 289.54,R$ 586.34,70.54%,"24,431"
2024,11,2,Ouro,Recife,Salvador,Gol,Smiles,R$ 0.016,"16,600",01,2025,"13,800",01-02,2025,"R$ 1,177.00",Nordeste,PE,Brasil,Nordeste,BA,R$ 265.60,R$ 220.80,R$ 486.40,58.67%,"30,400"
2024,11,2,Ouro,Aracaju,São Paulo,Latam,Latam,R$ 0.024,"9,213",01,2025,"10,381",01-02,2025,R$ 942.00,Nordeste,SE,Brasil,Sudeste,SP,R$ 221.11,R$ 249.14,R$ 470.26,50.08%,"19,594"
2024,11,2,Ouro,Maceió,Salvador,Gol,Smiles,R$ 0.016,"32,500",01-02,2025,"13,800",02,2025,"R$ 1,739.00",Nordeste,AL,Brasil,Nordeste,BA,R$ 520.00,R$ 220.80,R$ 740.80,57.40%,"46,300"
2024,11,2,Prata,Brasília,Roma,Latam,Latam,R$ 0.024,"63,195",11,2024,"63,597",12,2024,"R$ 4,393.00",Centro-Oeste,DF,Itália,Exterior,Capital,"R$ 1,516.68","R$ 1,526.33","R$ 3,043.01",30.73%,"126,792"
2024,11,2,Ouro,Campo Grande,Santiago,Latam,Latam,R$ 0.024,"17,695",11-12,2024,"17,695",11-12,2024,"R$ 1,688.00",Centro-Oeste,MS,Chile,Exterior,Capital,R$ 424.68,R$ 424.68,R$ 849.36,49.68%,"35,390"
2024,11,2,Ouro,Campo Grande,Santiago,Latam,Latam,R$ 0.024,"17,695",11-12,2024,"17,695",02-04-05-06,2025,"R$ 1,688.00",Centro-Oeste,MS,Chile,Exterior,Capital,R$ 424.68,R$ 424.68,R$ 849.36,49.68%,"35,390"
2024,11,2,Ouro,Campo Grande,Santiago,Latam,Latam,R$ 0.024,"17,695",02-03-05,2025,"17,695",02-04-05-06,2025,"R$ 1,688.00",Centro-Oeste,MS,Chile,Exterior,Capital,R$ 424.68,R$ 424.68,R$ 849.36,49.68%,"35,390"
2024,11,2,Prata,Cuiabá,Buenos Aires,Latam,Latam,R$ 0.024,"26,963",03,2025,"26,964",03,2025,"R$ 2,517.00",Centro-Oeste,MT,Argentina,Exterior,Capital,R$ 647.11,R$ 647.14,"R$ 1,294.25",48.58%,"53,927"
2024,11,2,Ouro,Brasília,Santiago,Latam,Latam,R$ 0.024,"19,861",11-12,2024,"19,862",12,2024,"R$ 2,067.00",Centro-Oeste,DF,Chile,Exterior,Capital,R$ 476.66,R$ 476.69,R$ 953.35,53.88%,"39,723"
2024,11,2,Ouro,Goiânia,Calama,Latam,Latam,R$ 0.024,"24,556",03-04,2025,"24,556",04-05,2025,"R$ 3,220.00",Centro-Oeste,GO,Chile,Exterior,El Loa,R$ 589.34,R$ 589.34,"R$ 1,178.69",63.39%,"49,112"
2024,11,2,Prata,Goiânia,São Paulo,Gol,Smiles,R$ 0.016,"13,800",02,2025,"13,800",02,2025,R$ 708.00,Centro-Oeste,GO,Brasil,Sudeste,SP,R$ 220.80,R$ 220.80,R$ 441.60,37.63%,"27,600"
2024,11,2,Ouro,Campo Grande,Salvador,Latam,Latam,R$ 0.024,"9,475",02,2025,"14,028",02,2025,"R$ 1,143.00",Centro-Oeste,MS,Brasil,Nordeste,BA,R$ 227.40,R$ 336.67,R$ 564.07,50.65%,"23,503"
